X,Y
739,389
736,391
735,392
735,393
734,393
733,394
733,395
731,395
731,396
730,396
730,397
729,397
729,398
728,399
727,399
727,400
726,400
726,401
725,401
725,402
724,402
723,403
722,404
721,404
720,405
719,405
718,406
717,407
716,407
716,408
715,409
714,409
713,410
713,411
712,411
711,411
711,412
710,412
710,413
709,413
709,414
708,414
707,415
706,415
705,416
704,416
704,417
703,417
702,417
701,418
700,419
699,419
697,420
697,421
696,421
695,421
694,422
693,422
692,423
691,423
690,423
689,424
688,424
688,425
687,425
686,425
686,426
685,426
685,427
684,427
683,427
682,427
682,428
681,428
680,428
679,429
677,429
677,430
676,430
675,430
674,430
673,430
673,431
672,431
671,432
670,432
669,432
669,433
668,433
667,433
667,434
666,434
665,434
665,435
664,435
663,435
662,436
661,436
661,437
660,437
659,437
658,438
657,438
656,439
655,439
654,439
653,439
653,440
652,440
651,440
651,441
650,441
649,441
648,441
647,441
647,442
646,442
645,442
644,442
643,443
642,443
641,443
640,443
639,444
638,444
638,445
637,445
636,445
635,445
635,446
634,446
633,446
633,447
632,447
631,447
630,448
629,449
628,449
627,449
627,450
626,450
625,450
625,451
624,451
623,451
622,452
621,452
621,453
620,453
619,453
618,453
617,453
617,454
616,454
615,454
614,454
613,454
613,455
612,455
611,455
610,455
609,455
608,456
607,456
607,457
605,457
604,457
603,457
603,458
602,458
601,458
601,459
600,459
599,459
598,459
597,459
596,459
595,459
595,460
594,460
594,461
593,461
592,461
591,461
590,462
589,462
589,463
588,463
587,463
586,464
585,464
585,465
584,465
583,465
582,465
581,466
581,467
580,467
579,467
578,467
577,468
576,468
575,469
574,469
573,469
572,469
571,469
571,470
570,471
569,471
568,471
567,471
566,471
565,471
565,472
564,472
563,472
561,473
560,473
559,473
558,473
557,473
556,473
555,473
554,474
553,474
552,474
551,475
550,475
549,475
548,475
547,475
546,476
545,476
545,477
543,477
542,477
541,477
541,478
540,478
539,478
538,479
537,479
536,479
535,479
534,480
533,480
533,481
532,481
531,481
530,481
529,481
529,482
528,482
527,482
526,483
525,483
524,483
523,483
522,483
521,484
520,484
519,485
518,485
517,485
515,485
514,485
512,485
512,486
511,486
510,486
509,487
507,487
506,487
505,487
504,488
503,488
502,489
501,489
500,489
499,489
498,489
497,489
496,489
495,489
494,489
494,490
493,490
492,490
491,490
491,491
490,491
489,491
488,491
487,491
487,492
486,492
485,492
484,492
484,493
483,493
481,493
481,494
480,495
479,495
478,495
477,495
477,496
476,497
475,497
474,498
473,498
473,499
472,499
471,500
470,501
469,501
468,501
467,502
466,502
465,503
464,503
463,503
463,504
462,504
461,505
460,506
460,507
459,508
458,511
457,511
457,512
457,513
456,514
456,515
455,516
455,517
455,518
455,519
455,520
454,521
454,522
453,522
453,523
452,523
452,524
451,525
450,526
450,527
449,527
449,528
448,529
447,529
447,530
446,531
445,531
445,532
445,533
444,533
443,534
443,535
442,535
442,536
441,536
441,537
440,538
440,539
439,539
439,540
438,540
438,541
437,541
436,542
436,543
435,543
435,544
435,545
434,545
434,546
433,547
433,548
432,548
431,549
431,550
430,550
430,551
429,551
429,553
428,553
428,554
427,555
426,556
425,557
424,558
423,559
423,560
422,560
422,561
421,561
421,562
421,563
420,563
419,563
419,564
419,565
418,565
417,566
417,567
416,568
416,569
415,569
415,570
415,571
414,571
414,572
414,573
413,573
413,574
413,575
412,576
412,577
411,578
411,579
411,580
411,581
411,582
411,583
410,583
409,584
409,585
409,586
408,586
408,587
407,588
407,589
406,590
405,591
405,592
405,593
404,593
403,594
403,595
403,596
402,597
402,598
401,599
401,600
401,601
400,601
399,602
399,603
399,604
399,605
398,606
398,607
397,607
397,608
396,608
396,609
395,610
395,611
394,611
394,612
394,613
393,613
393,614
393,615
391,615
391,617
390,617
390,618
389,619
389,620
389,621
388,622
387,623
387,624
387,625
386,626
385,627
385,628
385,629
384,629
384,630
383,631
383,632
382,633
382,634
381,635
380,637
379,637
379,638
379,639
378,641
377,641
377,642
376,643
375,644
375,645
374,645
374,646
373,647
373,648
373,649
372,649
371,649
371,650
371,651
370,651
369,653
369,654
368,655
367,655
367,656
367,657
366,657
366,658
365,658
365,660
365,661
364,661
363,662
363,663
362,664
362,665
361,665
360,666
359,667
359,668
359,669
358,669
357,669
357,670
357,671
356,672
356,673
355,673
355,674
355,675
354,676
354,677
353,678
353,679
353,680
353,681
353,682
353,683
352,683
352,684
352,685
351,685
351,686
351,687
351,688
351,689
350,689
349,690
349,691
349,692
349,694
349,695
348,696
348,697
347,698
347,699
347,700
346,701
346,702
345,703
345,704
345,705
345,706
344,707
343,708
343,709
343,710
343,711
342,712
342,713
341,713
341,714
341,715
340,716
340,717
339,718
339,719
338,720
338,721
337,722
337,723
336,724
335,726
335,727
334,727
333,728
333,729
333,730
332,731
331,731
330,732
330,733
329,733
328,734
327,735
327,736
326,736
326,737
325,737
325,738
325,739
324,739
323,739
323,740
322,741
321,741
321,742
321,743
320,743
319,743
319,744
318,744
317,744
317,745
317,746
317,747
318,747
318,748
319,749
319,750
319,751
320,753
321,754
321,755
321,756
321,757
321,758
321,759
321,760
321,761
322,761
322,762
322,763
323,764
323,765
323,766
323,767
323,768
323,769
323,770
323,771
323,772
323,773
